name,hair,feathers,eggs,milk,airborne,aquatic,backbone,breathes,fins,no of legs,tail,target, conclusion, rules Evaluated, rules Fired
aardvark,1,0,0,1,0,0,1,1,0,4,0,mammal,mammal,1,1
antelope,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
bass,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
bear,1,0,0,1,0,0,1,1,0,4,0,mammal,mammal,1,1
boar,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
buffalo,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
calf,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
carp,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
catfish,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
cavy,1,0,0,1,0,0,1,1,0,4,0,mammal,mammal,1,1
cavy,1,0,0,1,0,0,1,1,0,4,0,mammal,mammal,1,1
cheetah,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
chicken,0,1,1,0,1,0,1,1,0,2,1,bird,bird,1->2->3,3
chub,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
clam,0,0,1,0,0,0,0,0,0,0,0,mollusc,mollusc,1->2->3->4,4
crab,0,0,1,0,0,1,0,0,0,4,0,mollusc,mollusc,1->2->5,2->5
crayfish,0,0,1,0,0,1,0,0,0,6,0,mollusc,mollusc,1->2->5,2->5
crow,0,1,1,0,1,0,1,1,0,2,1,bird,bird,1->2->3,3
deer,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
dogfish,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
dolphin,0,0,0,1,0,1,1,1,1,0,1,mammal,mammal,1,1
dove,0,1,1,0,1,0,1,1,0,2,1,bird,bird,1->2->3,3
duck,0,1,1,0,1,1,1,1,0,2,1,bird,bird,1->2->5->6,2->6
elephant,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
flamingo,0,1,1,0,1,0,1,1,0,2,1,bird,bird,1->2->3,3
flea,0,0,1,0,0,0,0,1,0,6,0,insect,insect,1->2->3->4->7->12,7
frog,0,0,1,0,0,1,1,1,0,4,0,amphibian,amphibian,1->2->5->6->8,2->8
fruitbat,1,0,0,1,1,0,1,1,0,2,1,mammal,mammal,1,1
giraffe,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
girl,1,0,0,1,0,0,1,1,0,2,0,mammal,mammal,1,1
gnat,0,0,1,0,1,0,0,1,0,6,0,insect,insect,1->2->3->4->7->12,7
goat,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
gorilla,1,0,0,1,0,0,1,1,0,2,0,mammal,mammal,1,1
gull,0,1,1,0,1,1,1,1,0,2,1,bird,bird,1->2->5->6,2->6
haddock,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
hamster,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
hare,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
hawk,0,1,1,0,1,0,1,1,0,2,1,bird,bird,1->2->3,3
herring,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
honeybee,1,0,1,0,1,0,0,1,0,6,0,insect,insect,1->2->3->4->7->12,7
housefly,1,0,1,0,1,0,0,1,0,6,0,insect,insect,1->2->3->4->7->12,7
kiwi,0,1,1,0,0,0,1,1,0,2,1,bird,bird,1->2->3,3
ladybird,0,0,1,0,1,0,0,1,0,6,0,insect,insect,1->2->3->4->7->12,7
lark,0,1,1,0,1,0,1,1,0,2,1,bird,bird,1->2->3,3
leopard,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
lion,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
lobster,0,0,1,0,0,1,0,0,0,6,0,mollusc,mollusc,1->2->5,2->5
lynx,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
mink,1,0,0,1,0,1,1,1,0,4,1,mammal,mammal,1,1
mole,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
mongoose,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
moth,1,0,1,0,1,0,0,1,0,6,0,insect,insect,1->2->3->4->7->12,7
newt,0,0,1,0,0,1,1,1,0,4,1,amphibian,amphibian,1->2->5->6->8,2->8
octopus,0,0,1,0,0,1,0,0,0,8,0,mollusc,mollusc,1->2->5,2->5
opossum,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
oryx,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
ostrich,0,1,1,0,0,0,1,1,0,2,1,bird,bird,1->2->3,3
parakeet,0,1,1,0,1,0,1,1,0,2,1,bird,bird,1->2->3,3
penguin,0,1,1,0,0,1,1,1,0,2,1,bird,bird,1->2->5->6,2->6
pheasant,0,1,1,0,1,0,1,1,0,2,1,bird,bird,1->2->3,3
pike,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
piranha,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
pitviper,0,0,1,0,0,0,1,1,0,0,1,reptile,reptile,1->2->3->4->7->9,9
platypus,1,0,1,1,0,1,1,1,0,4,1,mammal,mammal,1,1
polecat,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
pony,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
porpoise,0,0,0,1,0,1,1,1,1,0,1,mammal,mammal,1,1
puma,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
pussycat,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
raccoon,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
reindeer,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
rhea,0,1,1,0,0,0,1,1,0,2,1,bird,bird,1->2->3,3
scorpion,0,0,0,0,0,0,0,1,0,8,1,mollusc,mollusc,1->2->3->4->7->9->10,10
seahorse,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
seal,1,0,0,1,0,1,1,1,1,0,0,mammal,mammal,1,1
sealion,1,0,0,1,0,1,1,1,1,2,1,mammal,mammal,1,1
seasnake,0,0,0,0,0,1,1,0,0,0,1,reptile,reptile,1->2->5->6->8->11,2->11
seawasp,0,0,1,0,0,1,0,0,0,0,0,mollusc,mollusc,1->2->5,2->5
skimmer,0,1,1,0,1,1,1,1,0,2,1,bird,bird,1->2->5->6,2->6
skua,0,1,1,0,1,1,1,1,0,2,1,bird,bird,1->2->5->6,2->6
slowworm,0,0,1,0,0,0,1,1,0,0,1,reptile,reptile,1->2->3->4->7->9,9
slug,0,0,1,0,0,0,0,1,0,0,0,mollusc,mollusc,1->2->3->4->7->12,7->12
sole,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
sparrow,0,1,1,0,1,0,1,1,0,2,1,bird,bird,1->2->3,3
squirrel,1,0,0,1,0,0,1,1,0,2,1,mammal,mammal,1,1
starfish,0,0,1,0,0,1,0,0,0,5,0,mollusc,mollusc,1->2->5,2->5
stingray,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
swan,0,1,1,0,1,1,1,1,0,2,1,bird,bird,1->2->5->6,2->6
termite,0,0,1,0,0,0,0,1,0,6,0,insect,insect,1->2->3->4->7->12,7
toad,0,0,1,0,0,1,1,1,0,4,0,amphibian,amphibian,1->2->5->6->8,2->8
tortoise,0,0,1,0,0,0,1,1,0,4,1,reptile,reptile,1->2->3->4->7->9,9
tuatara,0,0,1,0,0,0,1,1,0,4,1,reptile,reptile,1->2->3->4->7->9,9
tuna,0,0,1,0,0,1,1,0,1,0,1,fish,fish,1->2->5->6->8->11,2
vampire,1,0,0,1,1,0,1,1,0,2,1,mammal,mammal,1,1
vole,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
vulture,0,1,1,0,1,0,1,1,0,2,1,bird,bird,1->2->3,3
wallaby,1,0,0,1,0,0,1,1,0,2,1,mammal,mammal,1,1
wasp,1,0,1,0,1,0,0,1,0,6,0,insect,insect,1->2->3->4->7->12,7
wolf,1,0,0,1,0,0,1,1,0,4,1,mammal,mammal,1,1
worm,0,0,1,0,0,0,0,1,0,0,0,mollusc,mollusc,1->2->3->4->7->12,7->12
wren,0,1,1,0,1,0,1,1,0,2,1,bird,bird,1->2->3,3
